Unnamed: 0,size,center_x,center_y,min_dist
Cell_703,130.0,653.5,741.0,1614.101065608966
Cell_704,296.0,659.0,542.5,1669.5002994908386
Cell_705,391.0,661.5,169.5,1828.6920189031284
Cell_706,107.0,657.0,454.0,1703.620262852024
Cell_707,44.0,655.0,16.5,1917.456974745457
Cell_708,117.0,657.5,431.5,1711.9908002089264
Cell_709,91.0,657.0,529.0,1676.0360974632974
Cell_710,282.0,660.5,917.0,1570.5694031146793
Cell_711,185.0,659.0,125.0,1854.1588389347878
Cell_712,218.0,660.0,621.5,1643.0959345089989
Cell_713,114.0,660.5,812.5,1590.1586398847128
Cell_714,264.0,664.5,372.0,1730.2061293383515
Cell_715,216.0,664.5,562.0,1657.7494533252002
Cell_716,260.0,666.0,48.0,1890.5208277085974
Cell_717,119.0,663.5,199.0,1811.920597046129
Cell_718,252.0,668.0,1036.5,1549.0113782667963
Cell_719,196.0,670.5,547.5,1656.9841580413495
Cell_720,178.0,669.0,754.5,1595.64759580554
Cell_721,73.0,669.0,353.0,1734.3820225083055
Cell_722,122.0,669.0,472.0,1685.6340053522888
Cell_723,202.0,671.0,488.0,1677.758623878894
Cell_724,165.0,672.0,127.5,1841.832307784832
Cell_725,377.0,681.0,644.5,1615.7763613817353
Cell_726,269.0,676.0,934.5,1552.6101410205977
Cell_727,182.0,677.0,337.5,1734.070716551087
Cell_728,171.0,674.5,448.0,1689.8482920073031
Cell_729,295.0,680.0,163.0,1816.2609944608732
Cell_730,263.0,680.5,619.5,1624.2839961041295
Cell_731,258.0,682.0,1021.5,1536.3463964874588
Cell_732,330.0,683.5,720.5,1590.7081756249322
Cell_733,96.0,680.5,326.0,1736.1236275104375
Cell_734,190.0,683.0,245.5,1771.8863535791454
Cell_735,256.0,685.5,372.0,1711.2531227144627
Cell_736,288.0,686.5,85.5,1852.559985533532
Cell_737,161.0,684.0,349.5,1722.4599414790464
Cell_738,110.0,685.5,461.0,1674.6373488012264
Cell_739,287.0,689.0,232.5,1773.0767749874792
Cell_740,249.0,689.5,452.5,1674.2886549218447
Cell_741,227.0,688.0,315.0,1734.4751367488668
Cell_742,455.0,690.5,590.5,1623.8572905277113
Cell_743,161.0,686.0,869.5,1553.592047482221
